Competition,Team Number,Team Name,Match Number,Upper Scored,Middle Scored,Lower Scored,Total Points,Auto Points
Rocket City Regional,5025,Pacific Steel ,65,2,0,0,11,6
Rocket City Regional,5993,Istech Robotics Society,65,3,0,0,16,6
Rocket City Regional,4419,Team Rewind,66,3,2,1,23,0
Rocket City Regional,8891,Wild Raccoons,66,0,0,1,3,3
Rocket City Regional,4141,Monarch Robotics,66,2,0,5,21,3
Rocket City Regional,8537,MechanicAnts,67,0,0,4,8,0
Rocket City Regional,1572,The Hammer Heads,67,0,1,0,4,4
Rocket City Regional,702,Bagel Bytes,67,0,0,0,0,0
Rocket City Regional,3473,Team Sprocket,68,0,0,0,0,0
Rocket City Regional,2658,E-Motion,68,0,0,0,0,0
Rocket City Regional,2485,W.A.R. Lords,68,6,1,0,34,6
Rocket City Regional,2102,Team Paradox,69,0,0,5,11,3
Rocket City Regional,6515,Unimatics,69,0,0,4,12,12
Rocket City Regional,589,Falkon Robotics,69,0,0,0,0,0
Rocket City Regional,5025,Pacific Steel ,70,1,0,3,15,15
Rocket City Regional,6995,NOMAD,70,6,1,0,34,6
Rocket City Regional,4738,Patribots,66,5,3,0,34,0
Rocket City Regional,1972,Searing Engineering,66,0,0,0,0,0
Rocket City Regional,5285,Y,66,3,1,1,21,6
Rocket City Regional,973,Greybots,67,2,0,8,26,0
Rocket City Regional,6560,Charging Champions,67,3,0,1,18,6
Rocket City Regional,8020,CyberpunK,67,1,0,0,6,6
Rocket City Regional,2827,Crown City Robotics,68,0,0,0,0,0
Rocket City Regional,1622,Team Spyder,68,3,0,3,22,6
Rocket City Regional,3965,Sultans,68,0,0,4,9,3
Rocket City Regional,5474,Clairemonster,69,0,0,3,7,3
Rocket City Regional,4276,Surf City Vikings,69,0,1,2,8,4
Rocket City Regional,2543,TitanBot,69,3,0,0,15,0
Rocket City Regional,8119,TigerBotics,70,0,0,6,13,3
Rocket City Regional,812,The Midnight Mechanics,70,0,0,0,0,0
Rocket City Regional,599,The Robodox,70,7,2,0,42,6
